time,low,high,open,close,volume
2024-02-05 19:19:00,84.45,84.49,84.47,84.49,22.592
2024-02-05 19:18:00,84.55,84.67,84.62,84.55,23.441
2024-02-05 19:17:00,84.61,84.62,84.61,84.62,6.852
2024-02-05 19:13:00,84.53,84.57,84.56,84.57,27.406
2024-02-05 19:12:00,84.59,84.6,84.6,84.59,10.391
2024-02-05 19:11:00,84.55,84.55,84.55,84.55,16.207
2024-02-05 19:10:00,84.55,84.67,84.6,84.55,123.704
2024-02-05 19:09:00,84.55,84.6,84.59,84.55,4.074
2024-02-05 19:08:00,84.51,84.58,84.51,84.58,173.592
2024-02-05 19:07:00,84.47,84.51,84.47,84.51,1.096
2024-02-05 19:05:00,84.44,84.45,84.45,84.45,3.026
2024-02-05 19:04:00,84.46,84.53,84.53,84.46,0.813
2024-02-05 19:02:00,84.48,84.53,84.5,84.48,15.605
2024-02-05 19:00:00,84.38,84.47,84.45,84.41,10.406
2024-02-05 18:59:00,84.42,84.49,84.45,84.42,8.549
2024-02-05 18:58:00,84.4,84.45,84.4,84.45,4.879
2024-02-05 18:56:00,84.35,84.37,84.37,84.36,5.285
2024-02-05 18:55:00,84.34,84.38,84.38,84.34,0.389
2024-02-05 18:52:00,84.38,84.47,84.47,84.38,5.333
2024-02-05 18:51:00,84.38,84.48,84.38,84.48,13.197
2024-02-05 18:50:00,84.3,84.37,84.3,84.37,3.487
2024-02-05 18:48:00,84.29,84.29,84.29,84.29,0.088
2024-02-05 18:47:00,84.32,84.4,84.33,84.4,9.645
2024-02-05 18:45:00,84.35,84.37,84.36,84.35,7.117
2024-02-05 18:44:00,84.34,84.36,84.35,84.34,97.451
2024-02-05 18:43:00,84.36,84.41,84.41,84.4,36.064
2024-02-05 18:42:00,84.43,84.54,84.54,84.43,95.779
2024-02-05 18:41:00,84.54,84.59,84.54,84.58,54.179
2024-02-05 18:40:00,84.54,84.56,84.54,84.56,74.687
2024-02-05 18:38:00,84.47,84.52,84.52,84.52,11.527
2024-02-05 18:37:00,84.47,84.47,84.47,84.47,0.13
2024-02-05 18:36:00,84.41,84.51,84.45,84.51,114.664
2024-02-05 18:34:00,84.48,84.51,84.48,84.5,17.577
2024-02-05 18:33:00,84.48,84.53,84.51,84.48,2.792
2024-02-05 18:32:00,84.47,84.52,84.49,84.52,6.885
2024-02-05 18:31:00,84.41,84.45,84.41,84.45,0.166
2024-02-05 18:30:00,84.37,84.44,84.44,84.38,3.916
2024-02-05 18:29:00,84.46,84.47,84.46,84.47,0.249
2024-02-05 18:28:00,84.46,84.47,84.46,84.47,2.288
2024-02-05 18:27:00,84.42,84.43,84.42,84.43,7.483
2024-02-05 18:26:00,84.45,84.48,84.46,84.45,103.654
2024-02-05 18:25:00,84.39,84.45,84.39,84.45,3.293
2024-02-05 18:24:00,84.35,84.39,84.35,84.39,9.5
2024-02-05 18:23:00,84.36,84.41,84.4,84.41,148.792
2024-02-05 18:22:00,84.38,84.42,84.38,84.4,90.282
2024-02-05 18:21:00,84.36,84.43,84.4,84.36,16.84
2024-02-05 18:20:00,84.35,84.38,84.35,84.36,2.095
2024-02-05 18:19:00,84.36,84.37,84.36,84.37,5.794
2024-02-05 18:18:00,84.29,84.35,84.29,84.35,4.271
2024-02-05 18:17:00,84.34,84.34,84.34,84.34,0.08
2024-02-05 18:16:00,84.21,84.3,84.28,84.3,9.596
2024-02-05 18:15:00,84.27,84.36,84.36,84.28,190.491
2024-02-05 18:14:00,84.33,84.36,84.33,84.36,25.924
2024-02-05 18:13:00,84.3,84.34,84.34,84.31,2.204
2024-02-05 18:11:00,84.27,84.37,84.35,84.34,33.335
2024-02-05 18:10:00,84.32,84.36,84.36,84.34,35.673
2024-02-05 18:09:00,84.34,84.42,84.42,84.34,245.971
2024-02-05 18:08:00,84.41,84.42,84.41,84.42,23.042
2024-02-05 18:07:00,84.31,84.45,84.4,84.45,289.095
2024-02-05 18:06:00,84.41,84.47,84.41,84.45,8.928
2024-02-05 18:05:00,84.33,84.4,84.33,84.37,20.567
2024-02-05 18:04:00,84.22,84.29,84.22,84.29,11.043
2024-02-05 18:03:00,84.13,84.22,84.14,84.22,14.089
2024-02-05 18:02:00,84.07,84.14,84.07,84.14,31.19
2024-02-05 18:01:00,83.95,84.05,84.0,84.03,133.907
2024-02-05 18:00:00,83.93,84.07,83.93,84.0,443.404
2024-02-05 17:59:00,83.92,84.0,83.99,83.93,123.703
2024-02-05 17:58:00,83.9,84.29,84.29,84.02,167.085
2024-02-05 17:55:00,84.31,84.35,84.31,84.35,10.977
2024-02-05 17:53:00,84.27,84.31,84.3,84.31,112.311
2024-02-05 17:51:00,84.38,84.45,84.44,84.38,139.087
2024-02-05 17:49:00,84.47,84.51,84.47,84.48,16.41
2024-02-05 17:47:00,84.39,84.39,84.39,84.39,5.013
2024-02-05 17:46:00,84.48,84.48,84.48,84.48,0.096
2024-02-05 17:44:00,84.52,84.63,84.59,84.52,11.909
2024-02-05 17:41:00,84.63,84.67,84.66,84.63,0.519
2024-02-05 17:37:00,84.54,84.54,84.54,84.54,0.085
2024-02-05 17:36:00,84.53,84.58,84.54,84.53,25.416
2024-02-05 17:35:00,84.49,84.49,84.49,84.49,0.095
2024-02-05 17:32:00,84.4,84.48,84.48,84.4,4.516
2024-02-05 17:31:00,84.45,84.5,84.45,84.5,16.071
2024-02-05 17:30:00,84.43,84.44,84.44,84.43,0.461
2024-02-05 17:26:00,84.39,84.44,84.44,84.39,2.838
2024-02-05 17:22:00,84.41,84.41,84.41,84.41,1.095
2024-02-05 17:21:00,84.34,84.45,84.45,84.42,9.278
2024-02-05 17:20:00,84.44,84.47,84.45,84.45,8.97
2024-02-05 17:19:00,84.43,84.52,84.45,84.47,147.735
2024-02-05 17:18:00,84.41,84.53,84.53,84.44,29.087
2024-02-05 17:17:00,84.55,84.61,84.6,84.55,6.751
2024-02-05 17:16:00,84.61,84.69,84.69,84.61,13.638
2024-02-05 17:15:00,84.72,84.72,84.72,84.72,1.1
2024-02-05 17:14:00,84.76,84.86,84.83,84.76,22.965
2024-02-05 17:13:00,84.72,84.82,84.75,84.82,16.478
2024-02-05 17:12:00,84.63,84.68,84.66,84.68,14.516
2024-02-05 17:11:00,84.66,84.7,84.67,84.7,10.259
2024-02-05 17:08:00,84.59,84.65,84.65,84.59,2.61
2024-02-05 17:06:00,84.64,84.65,84.65,84.64,4.233
2024-02-05 17:04:00,84.5,84.57,84.57,84.51,2.554
2024-02-05 17:03:00,84.6,84.6,84.6,84.6,3.926
2024-02-05 17:02:00,84.48,84.55,84.48,84.55,6.115
2024-02-05 17:01:00,84.48,84.56,84.56,84.48,22.081
2024-02-05 17:00:00,84.59,84.66,84.61,84.6,303.469
2024-02-05 16:59:00,84.58,84.61,84.59,84.61,39.829
2024-02-05 16:58:00,84.57,84.61,84.6,84.57,31.063
2024-02-05 16:57:00,84.57,84.61,84.57,84.61,70.72
2024-02-05 16:55:00,84.46,84.5,84.49,84.5,7.847
2024-02-05 16:54:00,84.47,84.51,84.47,84.51,0.534
2024-02-05 16:52:00,84.4,84.43,84.4,84.43,21.535
2024-02-05 16:49:00,84.43,84.55,84.54,84.43,3.802
2024-02-05 16:48:00,84.45,84.53,84.45,84.49,8.224
2024-02-05 16:46:00,84.35,84.4,84.4,84.37,7.173
2024-02-05 16:44:00,84.38,84.39,84.38,84.39,1.086
2024-02-05 16:42:00,84.4,84.43,84.43,84.4,11.842
2024-02-05 16:41:00,84.34,84.43,84.37,84.43,12.983
2024-02-05 16:40:00,84.35,84.42,84.36,84.41,10.9
2024-02-05 16:36:00,84.34,84.43,84.34,84.43,5.499
2024-02-05 16:34:00,84.36,84.46,84.36,84.41,16.672
2024-02-05 16:33:00,84.27,84.35,84.31,84.35,10.771
2024-02-05 16:31:00,84.28,84.35,84.31,84.28,4.371
2024-02-05 16:29:00,84.05,84.16,84.06,84.14,4.191
2024-02-05 16:28:00,84.04,84.08,84.06,84.04,5.452
2024-02-05 16:27:00,84.15,84.18,84.18,84.15,7.296
2024-02-05 16:26:00,84.21,84.26,84.21,84.26,26.124
2024-02-05 16:25:00,84.16,84.24,84.24,84.24,26.782
2024-02-05 16:23:00,84.19,84.24,84.24,84.24,11.426
2024-02-05 16:22:00,84.14,84.28,84.28,84.18,31.717
2024-02-05 16:21:00,84.18,84.3,84.18,84.27,35.953
2024-02-05 16:20:00,84.2,84.42,84.42,84.2,39.909
2024-02-05 16:19:00,84.41,84.45,84.41,84.42,45.324
2024-02-05 16:18:00,84.43,84.55,84.55,84.44,69.641
2024-02-05 16:16:00,84.5,84.57,84.54,84.53,36.814
2024-02-05 16:14:00,84.34,84.6,84.36,84.6,62.136
2024-02-05 16:13:00,84.3,84.44,84.33,84.44,31.991
2024-02-05 16:12:00,84.35,84.35,84.35,84.35,0.276
2024-02-05 16:11:00,84.22,84.26,84.22,84.26,9.813
2024-02-05 16:10:00,84.22,84.34,84.34,84.22,3.636
2024-02-05 16:09:00,84.25,84.35,84.27,84.35,17.384
2024-02-05 16:08:00,84.24,84.29,84.26,84.25,91.112
2024-02-05 16:07:00,84.1,84.22,84.1,84.22,13.934
2024-02-05 16:06:00,83.98,84.09,84.08,84.09,47.889
2024-02-05 16:05:00,84.14,84.21,84.21,84.16,24.602
2024-02-05 16:03:00,84.34,84.41,84.41,84.34,0.244
2024-02-05 16:00:00,84.11,84.34,84.15,84.34,21.613
2024-02-05 15:59:00,84.13,84.16,84.13,84.16,1.412
2024-02-05 15:57:00,83.98,84.1,83.98,84.1,7.476
2024-02-05 15:56:00,83.94,83.99,83.99,83.94,3.742
2024-02-05 15:55:00,84.02,84.09,84.09,84.02,14.378
2024-02-05 15:54:00,84.14,84.19,84.14,84.16,1.63
2024-02-05 15:53:00,84.14,84.14,84.14,84.14,1.167
2024-02-05 15:52:00,84.08,84.1,84.1,84.08,10.447
2024-02-05 15:50:00,84.09,84.2,84.14,84.09,31.927
2024-02-05 15:49:00,84.3,84.33,84.31,84.3,3.217
2024-02-05 15:48:00,84.03,84.11,84.04,84.11,27.536
2024-02-05 15:46:00,84.07,84.08,84.08,84.07,5.509
2024-02-05 15:43:00,84.01,84.12,84.12,84.01,28.435
2024-02-05 15:42:00,84.11,84.17,84.17,84.12,7.422
2024-02-05 15:40:00,84.19,84.35,84.35,84.19,4.21
2024-02-05 15:39:00,84.41,84.41,84.41,84.41,0.124
2024-02-05 15:38:00,84.33,84.4,84.4,84.33,12.56
2024-02-05 15:34:00,84.42,84.58,84.54,84.42,19.913
2024-02-05 15:33:00,84.52,84.52,84.52,84.52,0.096
2024-02-05 15:31:00,84.52,84.6,84.52,84.56,20.319
2024-02-05 15:30:00,84.36,84.44,84.44,84.39,99.241
2024-02-05 15:28:00,84.44,84.47,84.47,84.44,17.023
2024-02-05 15:27:00,84.4,84.51,84.4,84.51,2.745
2024-02-05 15:25:00,84.34,84.37,84.36,84.37,58.254
2024-02-05 15:24:00,84.36,84.4,84.4,84.39,7.392
2024-02-05 15:23:00,84.43,84.57,84.52,84.43,23.734
2024-02-05 15:22:00,84.33,84.51,84.33,84.51,25.454
2024-02-05 15:21:00,84.29,84.29,84.29,84.29,2.493
2024-02-05 15:20:00,84.06,84.25,84.11,84.25,44.758
2024-02-05 15:19:00,84.07,84.19,84.19,84.07,43.989
2024-02-05 15:18:00,84.25,84.25,84.25,84.25,2.079
2024-02-05 15:17:00,84.22,84.28,84.28,84.24,9.367
2024-02-05 15:16:00,84.3,84.53,84.52,84.32,11.347
2024-02-05 15:15:00,84.49,84.62,84.62,84.49,15.064
2024-02-05 15:14:00,84.58,84.59,84.58,84.58,41.693
2024-02-05 15:13:00,84.47,84.61,84.6,84.6,105.522
2024-02-05 15:12:00,84.62,84.73,84.73,84.62,12.823
2024-02-05 15:11:00,84.77,84.82,84.77,84.81,67.714
2024-02-05 15:07:00,84.66,84.8,84.8,84.66,33.916
2024-02-05 15:06:00,84.58,84.79,84.58,84.79,16.299
2024-02-05 15:05:00,84.63,84.67,84.64,84.65,6.159
2024-02-05 15:04:00,84.34,84.62,84.4,84.62,52.34
2024-02-05 15:03:00,84.3,84.43,84.43,84.43,14.852
2024-02-05 15:02:00,84.43,84.76,84.76,84.46,51.238
2024-02-05 15:01:00,84.7,84.8,84.8,84.72,8.231
2024-02-05 14:56:00,84.82,84.96,84.96,84.82,4.832
2024-02-05 14:51:00,84.94,84.96,84.96,84.95,11.306
2024-02-05 14:50:00,84.95,85.04,85.04,84.95,5.386
2024-02-05 14:49:00,85.08,85.18,85.18,85.08,7.749
2024-02-05 14:48:00,85.16,85.25,85.25,85.16,0.384
2024-02-05 14:46:00,85.26,85.3,85.28,85.26,10.062
2024-02-05 14:45:00,85.18,85.2,85.18,85.2,2.095
2024-02-05 14:44:00,85.14,85.18,85.18,85.17,4.759
2024-02-05 14:43:00,85.18,85.18,85.18,85.18,0.214
2024-02-05 14:41:00,85.13,85.22,85.22,85.18,59.77
2024-02-05 14:40:00,85.08,85.25,85.25,85.13,201.103
2024-02-05 14:39:00,85.21,85.26,85.26,85.21,124.149
2024-02-05 14:38:00,85.25,85.25,85.25,85.25,2.119
2024-02-05 14:37:00,85.34,85.49,85.49,85.34,4.69
2024-02-05 14:36:00,85.49,85.52,85.52,85.49,1.277
2024-02-05 14:34:00,85.37,85.44,85.37,85.44,14.808
2024-02-05 14:32:00,85.21,85.36,85.21,85.36,0.898
2024-02-05 14:30:00,85.3,85.3,85.3,85.3,0.095
2024-02-05 14:29:00,85.31,85.34,85.31,85.34,3.682
2024-02-05 14:25:00,85.27,85.35,85.32,85.35,14.042
2024-02-05 14:23:00,85.24,85.34,85.34,85.24,0.913
2024-02-05 14:21:00,85.34,85.36,85.36,85.34,21.614
2024-02-05 14:20:00,85.44,85.55,85.55,85.44,4.855
2024-02-05 14:19:00,85.62,85.62,85.62,85.62,0.095
2024-02-05 14:16:00,85.6,85.64,85.61,85.64,6.661
2024-02-05 14:13:00,85.64,85.7,85.7,85.64,5.458
2024-02-05 14:11:00,85.72,85.81,85.78,85.73,16.391
2024-02-05 14:09:00,85.8,85.84,85.8,85.84,0.12
2024-02-05 14:08:00,85.77,85.8,85.8,85.79,10.617
2024-02-05 14:06:00,85.73,85.8,85.73,85.78,2.218
2024-02-05 14:05:00,85.69,85.71,85.69,85.7,11.597
2024-02-05 14:03:00,85.66,85.71,85.66,85.66,30.376
2024-02-05 14:02:00,85.61,85.65,85.61,85.65,3.357
